,Close,Train_Return,Date
2019-12-27,7553.027,0.16050339,2019-12-27
2019-12-30,7562.4,0.12409687,2019-12-30
2019-12-31,7526.057,-0.48057437,2019-12-31
2020-01-02,7486.3755,-0.5272567,2020-01-02
2020-01-03,7522.171,0.47813654,2020-01-03
2020-01-06,7543.73,0.28660297,2020-01-06
2020-01-07,7514.8706,-0.3825605,2020-01-07
2020-01-08,7506.7334,-0.10828376,2020-01-08
2020-01-09,7507.5615,0.011026859,2020-01-09
2020-01-10,7523.1704,0.20791292,2020-01-10
2020-01-13,7519.96,-0.042676926,2020-01-13
2020-01-14,7537.8174,0.2374649,2020-01-14
2020-01-15,7545.6978,0.10454655,2020-01-15
2020-01-16,7559.484,0.18270016,2020-01-16
2020-01-17,7541.1694,-0.24226904,2020-01-17
2020-01-20,7577.291,0.47899485,2020-01-20
2020-01-21,7573.6465,-0.04810095,2020-01-21
2020-01-22,7542.559,-0.4104674,2020-01-22
2020-01-23,7510.267,-0.42812824,2020-01-23
2020-01-24,7459.9097,-0.6705165,2020-01-24
2020-01-27,7505.0835,0.60555935,2020-01-27
2020-01-28,7390.765,-1.5232146,2020-01-28
2020-01-29,7420.337,0.40011406,2020-01-29
2020-01-30,7432.226,0.1602292,2020-01-30
2020-01-31,7355.323,-1.0347188,2020-01-31
2020-02-03,7266.3877,-1.2091339,2020-02-03
2020-02-04,7291.6675,0.3479004,2020-02-04
2020-02-05,7382.529,1.2460947,2020-02-05
2020-02-06,7426.753,0.5990386,2020-02-06
2020-02-07,7447.232,0.275743,2020-02-07
2020-02-10,7422.568,-0.33118725,2020-02-10
2020-02-11,7402.97,-0.2640307,2020-02-11
2020-02-12,7438.5273,0.48030615,2020-02-12
2020-02-13,7469.9653,0.4226327,2020-02-13
2020-02-14,7415.267,-0.73224306,2020-02-14
2020-02-17,7372.393,-0.57818294,2020-02-17
2020-02-18,7386.3896,0.18985271,2020-02-18
2020-02-19,7350.521,-0.485605,2020-02-19
2020-02-20,7400.5103,0.6800771,2020-02-20
2020-02-21,7395.235,-0.071281195,2020-02-21
2020-02-24,7367.3887,-0.37654042,2020-02-24
2020-02-25,7151.4536,-2.930957,2020-02-25
2020-02-26,7004.067,-2.060932,2020-02-26
2020-02-27,7019.785,0.22441149,2020-02-27
2020-02-28,6765.388,-3.6239982,2020-02-28
2020-03-02,6595.747,-2.507484,2020-03-02
2020-03-03,6635.68,0.60544014,2020-03-03
2020-03-04,6705.9897,1.0595679,2020-03-04
2020-03-05,6779.886,1.1019468,2020-03-05
2020-03-06,6687.816,-1.3579905,2020-03-06
2020-03-09,6467.644,-3.2921314,2020-03-09
2020-03-10,6016.403,-6.9769025,2020-03-10
2020-03-11,5898.8247,-1.9542933,2020-03-11
2020-03-12,5887.843,-0.18616915,2020-03-12
2020-03-13,5378.607,-8.648938,2020-03-13
2020-03-16,5423.9556,0.84313154,2020-03-16
2020-03-17,5248.1323,-3.2416046,2020-03-17
2020-03-18,5298.294,0.95579624,2020-03-18
2020-03-19,5236.3735,-1.1686862,2020-03-19
2020-03-20,5235.5293,-0.016123056,2020-03-20
2020-03-23,5223.6284,-0.22730827,2020-03-23
2020-03-24,5227.477,0.07368326,2020-03-24
2020-03-25,5471.0327,4.65914,2020-03-25
2020-03-26,5695.0713,4.094994,2020-03-26
2020-03-27,5808.762,1.9963026,2020-03-27
2020-03-30,5591.0073,-3.7487328,2020-03-30
2020-03-31,5624.607,0.6009579,2020-03-31
2020-04-01,5698.28,1.3098359,2020-04-01
2020-04-02,5522.3223,-3.087908,2020-04-02
2020-04-03,5535.4937,0.23851395,2020-04-03
2020-04-06,5458.3804,-1.3930678,2020-04-06
2020-04-07,5613.5825,2.843368,2020-04-07
2020-04-08,5718.444,1.8679976,2020-04-08
2020-04-09,5712.472,-0.10442734,2020-04-09
2020-04-14,5846.0806,2.3388863,2020-04-14
2020-04-15,5808.0586,-0.65038204,2020-04-15
2020-04-16,5669.734,-2.381599,2020-04-16
2020-04-17,5682.457,0.22439957,2020-04-17
2020-04-20,5797.476,2.0241022,2020-04-20
2020-04-21,5819.478,0.3795147,2020-04-21
2020-04-22,5701.66,-2.0245433,2020-04-22
2020-04-23,5799.352,1.7133951,2020-04-23
2020-04-24,5830.0957,0.5301237,2020-04-24
2020-04-27,5785.39,-0.7668078,2020-04-27
2020-04-28,5856.74,1.2332797,2020-04-28
2020-04-29,5945.2607,1.5114307,2020-04-29
2020-04-30,6090.349,2.440405,2020-04-30
2020-05-01,5913.844,-2.898109,2020-05-01
2020-05-04,5824.88,-1.5043378,2020-05-04
2020-05-05,5794.201,-0.5266845,2020-05-05
2020-05-06,5854.3296,1.0377288,2020-05-06
2020-05-07,5856.848,0.043022633,2020-05-07
2020-05-11,5931.9375,1.2820721,2020-05-11
2020-05-12,5936.271,0.07305145,2020-05-12
2020-05-13,5995.2397,0.9933591,2020-05-13
2020-05-14,5911.7383,-1.3927937,2020-05-14
2020-05-15,5796.103,-1.9560277,2020-05-15
2020-05-18,5828.336,0.55611134,2020-05-18
2020-05-19,6029.028,3.4433842,2020-05-19
2020-05-20,5988.795,-0.6673217,2020-05-20
2020-05-21,6071.4077,1.3794541,2020-05-21
2020-05-22,6020.536,-0.83788633,2020-05-22
2020-05-26,6010.06,-0.17400384,2020-05-26
2020-05-27,6067.679,0.95871687,2020-05-27
2020-05-28,6125.3394,0.9502888,2020-05-28
2020-05-29,6194.6587,1.1316776,2020-05-29
2020-06-01,6090.209,-1.686126,2020-06-01
2020-06-02,6170.392,1.3165951,2020-06-02
2020-06-03,6197.407,0.43781996,2020-06-03
2020-06-04,6339.3516,2.29038,2020-06-04
2020-06-05,6321.845,-0.27615428,2020-06-05
2020-06-08,6428.3306,1.6844034,2020-06-08
2020-06-09,6443.268,0.23237467,2020-06-09
2020-06-10,6321.385,-1.8916368,2020-06-10
2020-06-11,6284.7754,-0.5791366,2020-06-11
2020-06-12,6082.2866,-3.2218933,2020-06-12
2020-06-15,6113.106,0.506711,2020-06-15
2020-06-16,6071.9214,-0.6737113,2020-06-16
2020-06-17,6217.878,2.4037957,2020-06-17
2020-06-18,6225.9985,0.1306057,2020-06-18
2020-06-19,6219.6626,-0.10176301,2020-06-19
2020-06-22,6274.101,0.87525845,2020-06-22
2020-06-23,6236.7056,-0.59602857,2020-06-23
2020-06-24,6292.139,0.88882446,2020-06-24
2020-06-25,6135.671,-2.4867237,2020-06-25
2020-06-26,6145.199,0.15529394,2020-06-26
2020-06-29,6152.0747,0.11188984,2020-06-29
2020-06-30,6210.5894,0.95113516,2020-06-30
2020-07-01,6165.353,-0.7283747,2020-07-01
2020-07-02,6161.5103,-0.062328577,2020-07-02
2020-07-03,6225.5776,1.039803,2020-07-03
2020-07-06,6154.7437,-1.1377871,2020-07-06
2020-07-07,6268.1826,1.8431187,2020-07-07
2020-07-08,6184.9653,-1.327616,2020-07-08
2020-07-09,6158.6055,-0.4261911,2020-07-09
2020-07-10,6074.9897,-1.3577044,2020-07-10
2020-07-13,6109.216,0.563395,2020-07-13
2020-07-14,6155.9873,0.7655859,2020-07-14
2020-07-15,6164.5073,0.13840199,2020-07-15
2020-07-16,6269.5806,1.7044902,2020-07-16
2020-07-17,6238.3296,-0.49845576,2020-07-17
2020-07-20,6268.9683,0.49113035,2020-07-20
2020-07-21,6250.516,-0.29433966,2020-07-21
2020-07-22,6253.459,0.04708767,2020-07-22
2020-07-23,6205.7485,-0.7629454,2020-07-23
2020-07-24,6207.638,0.030446053,2020-07-24
2020-07-27,6133.8687,-1.1883676,2020-07-27
2020-07-28,6121.6143,-0.19978285,2020-07-28
2020-07-29,6130.2466,0.14101267,2020-07-29
2020-07-30,6128.732,-0.024706125,2020-07-30
2020-07-31,6016.795,-1.8264294,2020-07-31
2020-08-03,5931.8022,-1.4125884,2020-08-03
2020-08-04,6036.0107,1.7567754,2020-08-04
2020-08-05,6027.0474,-0.14849901,2020-08-05
2020-08-06,6099.604,1.2038469,2020-08-06
2020-08-07,6034.7495,-1.0632575,2020-08-07
2020-08-10,6049.4697,0.24392605,2020-08-10
2020-08-11,6054.0884,0.07635355,2020-08-11
2020-08-12,6138.389,1.3924599,2020-08-12
2020-08-13,6244.861,1.734519,2020-08-13
2020-08-14,6180.6973,-1.0274649,2020-08-14
2020-08-17,6108.495,-1.1681855,2020-08-17
2020-08-18,6137.3013,0.47158003,2020-08-18
2020-08-19,6083.2896,-0.8800566,2020-08-19
2020-08-20,6117.8247,0.5677104,2020-08-20
2020-08-21,6028.8535,-1.4542937,2020-08-21
2020-08-24,6024.349,-0.07471442,2020-08-24
2020-08-25,6097.8774,1.2205243,2020-08-25
2020-08-26,6038.885,-0.96743107,2020-08-26
2020-08-27,6060.78,0.36256313,2020-08-27
2020-08-28,6011.748,-0.8090019,2020-08-28
2020-09-01,5980.2476,-0.52398443,2020-09-01
2020-09-02,5881.431,-1.6523778,2020-09-02
2020-09-03,5948.2197,1.1355877,2020-09-03
2020-09-04,5862.6636,-1.4383495,2020-09-04
2020-09-07,5831.783,-0.5267322,2020-09-07
2020-09-08,5933.4893,1.7439961,2020-09-08
2020-09-09,5922.6167,-0.18324256,2020-09-09
2020-09-10,6011.68,1.5037894,2020-09-10
2020-09-11,6001.9644,-0.161618,2020-09-11
2020-09-14,6036.7275,0.5792022,2020-09-14
2020-09-15,6030.3022,-0.106436014,2020-09-15
2020-09-16,6100.361,1.161778,2020-09-16
